Open,Close,Year,Month,Date
53.360001000000004,53.389998999999996,1960,10,10/01/1960
53.939999,55.540001000000004,1960,11,11/01/1960
55.299999,58.110001000000004,1960,12,12/01/1960
57.57,61.779999,1961,01,01/01/1961
61.900002,63.439999,1961,02,02/01/1961
63.43,65.059998,1961,03,03/01/1961
65.599998,65.309998,1961,04,04/01/1961
65.16999799999999,66.559998,1961,05,05/01/1961
66.559998,64.639999,1961,06,06/01/1961
65.209999,66.760002,1961,07,07/01/1961
67.370003,68.07,1961,08,08/01/1961
68.190002,66.730003,1961,09,09/01/1961
66.769997,68.620003,1961,10,10/01/1961
68.730003,71.32,1961,11,11/01/1961
71.779999,71.550003,1961,12,12/01/1961
71.550003,68.839996,1962,01,01/01/1962
68.839996,69.959999,1962,02,02/01/1962
69.959999,69.550003,1962,03,03/01/1962
69.550003,65.239998,1962,04,04/01/1962
65.239998,59.630001,1962,05,05/01/1962
59.630001,54.75,1962,06,06/01/1962
54.75,58.23,1962,07,07/01/1962
58.23,59.119999,1962,08,08/01/1962
59.119999,56.27,1962,09,09/01/1962
56.27,56.52,1962,10,10/01/1962
56.52,62.259997999999996,1962,11,11/01/1962
62.259997999999996,63.099998,1962,12,12/01/1962
63.099998,66.199997,1963,01,01/01/1963
66.309998,64.290001,1963,02,02/01/1963
64.290001,66.57,1963,03,03/01/1963
66.57,69.800003,1963,04,04/01/1963
69.800003,70.800003,1963,05,05/01/1963
70.800003,69.370003,1963,06,06/01/1963
69.370003,69.129997,1963,07,07/01/1963
69.129997,72.5,1963,08,08/01/1963
72.5,71.699997,1963,09,09/01/1963
71.699997,74.010002,1963,10,10/01/1963
74.010002,73.230003,1963,11,11/01/1963
73.230003,75.019997,1963,12,12/01/1963
75.019997,77.040001,1964,01,01/01/1964
77.040001,77.800003,1964,02,02/01/1964
77.800003,78.980003,1964,03,03/01/1964
78.980003,79.459999,1964,04,04/01/1964
79.459999,80.370003,1964,05,05/01/1964
80.370003,81.690002,1964,06,06/01/1964
81.690002,83.18,1964,07,07/01/1964
83.18,81.83000200000001,1964,08,08/01/1964
81.83000200000001,84.18,1964,09,09/01/1964
84.18,84.860001,1964,10,10/01/1964
84.860001,84.41999799999999,1964,11,11/01/1964
84.41999799999999,84.75,1964,12,12/01/1964
84.75,87.559998,1965,01,01/01/1965
87.559998,87.43,1965,02,02/01/1965
87.43,86.160004,1965,03,03/01/1965
86.160004,89.110001,1965,04,04/01/1965
89.110001,88.41999799999999,1965,05,05/01/1965
88.41999799999999,84.120003,1965,06,06/01/1965
84.120003,85.25,1965,07,07/01/1965
85.25,87.16999799999999,1965,08,08/01/1965
87.16999799999999,89.959999,1965,09,09/01/1965
89.959999,92.41999799999999,1965,10,10/01/1965
92.41999799999999,91.610001,1965,11,11/01/1965
91.610001,92.43,1965,12,12/01/1965
92.43,92.879997,1966,01,01/01/1966
92.879997,91.220001,1966,02,02/01/1966
91.220001,89.230003,1966,03,03/01/1966
89.230003,91.059998,1966,04,04/01/1966
91.059998,86.129997,1966,05,05/01/1966
86.129997,84.739998,1966,06,06/01/1966
84.739998,83.599998,1966,07,07/01/1966
83.5,77.099998,1966,08,08/01/1966
77.099998,76.559998,1966,09,09/01/1966
76.559998,80.199997,1966,10,10/01/1966
80.199997,80.449997,1966,11,11/01/1966
80.449997,80.33000200000001,1966,12,12/01/1966
80.33000200000001,86.610001,1967,01,01/01/1967
86.610001,86.779999,1967,02,02/01/1967
86.779999,90.199997,1967,03,03/01/1967
90.199997,94.010002,1967,04,04/01/1967
94.010002,89.08000200000001,1967,05,05/01/1967
