Date,Open,pct_sos,Month,Year,pct_pop,Season,Close
06/01/1967,89.08000200000001,0.10727166341597272,06,1967,-0.05244122854076727,Jun-Jan,90.639999
07/01/1967,90.639999,0.12834553396376114,07,1967,0.017512314380055738,Jul-Feb,94.75
08/01/1967,94.75,0.09398451571429955,08,1967,0.04534423042083224,Aug-Mar,93.639999
09/01/1967,93.639999,0.07905047337002147,09,1967,-0.011715050131926086,Sep-Apr,96.709999
10/01/1967,96.709999,0.07217297357559782,10,1967,0.03278513490800017,Oct-May,93.300003
11/01/1967,93.300003,-0.0075523772459870075,11,1967,-0.035260014840864495,Nov-Jun,94.0
12/01/1967,94.0,0.055231229114700575,12,1967,0.007502647132819451,Dec-Jul,96.470001
01/01/1968,96.470001,0.06432041112445286,01,1968,0.026276606382978684,Nov-Apr,92.239998
02/01/1968,92.239998,-0.026490786279683376,02,1968,-0.04384785898364396,Nov-Apr,89.360001
03/01/1968,89.360001,-0.045706941966114356,03,1968,-0.031222864944121076,Nov-Apr,90.199997
04/01/1968,91.110001,-0.05790505695279757,04,1968,0.01958370613715643,Apr-Nov,97.459999
05/01/1968,97.459999,0.04458730831980784,05,1968,0.06969594918564437,May-Dec,98.68
06/01/1968,98.720001,0.050212776595744746,06,1968,0.01292840152809771,Jun-Jan,99.58000200000001
07/01/1968,99.58000200000001,0.03223801148296879,07,1968,0.008711517334770047,Jul-Feb,97.739998
08/01/1968,97.739998,0.05962706113675331,08,1968,-0.01847764574256594,Aug-Mar,98.860001
09/01/1968,98.860001,0.10631154760170602,09,1968,0.011459003713095939,Sep-Apr,102.66999799999999
10/01/1968,102.66999799999999,0.1268795617728069,10,1968,0.03853931783795961,Oct-May,103.410004
11/01/1968,103.410004,0.06105073939103978,11,1968,0.007207616776227166,Nov-Jun,108.370003
12/01/1968,108.370003,0.09775123482828985,12,1968,0.047964401974106785,Dec-Jul,103.860001
01/01/1969,103.860001,0.042980507270927726,01,1969,-0.041616700887237235,Nov-Apr,103.010002
02/01/1969,103.010002,0.053918601471630856,02,1969,-0.008184084265510427,Nov-Apr,98.129997
03/01/1969,98.129997,-0.007384220034551636,03,1969,-0.047374088974389106,Nov-Apr,101.510002
04/01/1969,101.510002,-0.011298295729975538,04,1969,0.03444415676482704,Apr-Nov,103.690002
05/01/1969,103.690002,0.0027076490587893964,05,1969,0.02147571625503475,May-Dec,103.459999
06/01/1969,103.459999,-0.045307777651348746,06,1969,-0.002218179145179411,Jun-Jan,97.709999
07/01/1969,97.709999,-0.05921434566518058,07,1969,-0.05557703513992884,Jul-Feb,91.83000200000001
08/01/1969,91.91999799999999,-0.10765948727969166,08,1969,-0.05925699579630539,Aug-Mar,95.510002
09/01/1969,95.510002,-0.026699226333411596,09,1969,0.039055744975103224,Sep-Apr,93.120003
10/01/1969,93.120003,-0.08265194399267184,10,1969,-0.02502354674853846,Oct-May,97.120003
11/01/1969,97.120003,-0.06336193339064655,11,1969,0.04295532507661104,Nov-Jun,93.809998
12/01/1969,93.809998,-0.09327277298736492,12,1969,-0.034081599029604726,Dec-Jul,92.059998
01/01/1970,92.059998,-0.057824184401025325,01,1970,-0.018654728038689394,Nov-Apr,85.019997
02/01/1970,85.019997,-0.07506528666373546,02,1970,-0.07647187869806371,Nov-Apr,89.5
03/01/1970,89.5,-0.06292536775363067,03,1970,0.05269352103129332,Nov-Apr,89.629997
04/01/1970,89.629997,-0.037478585562330746,04,1970,0.0014524804469273622,Apr-Nov,81.519997
05/01/1970,81.519997,-0.16062608647159937,05,1970,-0.0904831002058385,May-Dec,76.550003
06/01/1970,76.550003,-0.18398886438522244,06,1970,-0.060966562596904916,Jun-Jan,72.720001
07/01/1970,72.720001,-0.21008035433587557,07,1970,-0.05003268255913729,Jul-Feb,78.050003
08/01/1970,78.050003,-0.08198064274220096,08,1970,0.0732948559777935,Aug-Mar,81.519997
09/01/1970,81.519997,-0.08916204469273736,09,1970,0.04445860175047023,Sep-Apr,84.300003
10/01/1970,84.300003,-0.059466631467141484,10,1970,0.03410213570052023,Oct-May,83.25
11/01/1970,83.25,0.021221823646534244,11,1970,-0.012455551158165434,Nov-Jun,87.199997
12/01/1970,87.199997,0.13912467122960126,12,1970,0.0474474114114114,Dec-Jul,92.150002
01/01/1971,92.150002,0.26718922899904807,01,1971,0.056766114338283824,Nov-Apr,95.879997
02/01/1971,95.879997,0.22844321991890237,02,1971,0.04047742722783676,Nov-Apr,96.75
03/01/1971,96.75,0.18682536261624239,03,1971,0.009073873875903304,Nov-Apr,100.309998
04/01/1971,100.309998,0.18991689715598215,04,1971,0.03679584496124022,Apr-Nov,103.949997
05/01/1971,103.949997,0.24864861261261262,05,1971,0.03628749947737009,May-Dec,99.629997
06/01/1971,99.629997,0.1425458764637344,06,1971,-0.04155844275781939,Jun-Jan,98.699997
07/01/1971,99.160004,0.0760716424075607,07,1971,-0.0047173844640384655,Jul-Feb,95.58000200000001
08/01/1971,95.58000200000001,-0.003128859088303848,08,1971,-0.03610328615960923,Aug-Mar,99.029999
09/01/1971,99.029999,0.023565881136951017,09,1971,0.03609538530873846,Sep-Apr,98.339996
